search_term,slug,title,similarity_score
shower door,how-to-choose-a-dog-door,How to Choose a Dog Door,0.5357974767684937
shower door,how-to-decorate-a-door-for-christmas-,How to Decorate a Door for Christmas ,0.5306257009506226
shower door,how-to-clean-a-shower-head,How to Clean a Shower Head,0.5296675562858582
shower door,how-to-install-a-shower-surround,How to Install a Shower Surround,0.5283288955688477
shower door,how-to-install-a-glue-up-shower-enclosure,How to Install a Glue-Up Shower Enclosure,0.525094747543335
shower door,types-of-shower-valves,Types of Shower Valves,0.5216442942619324
shower door,how-to-clean-shower-tile,How to Clean Shower Tile,0.5209302306175232
shower door,best-medicine-cabinets-for-your-bathroom,Best Medicine Cabinets for Your Bathroom,0.5191034078598022
shower door,best-doormats-for-your-home,Best Doormats for Your Home,0.518447756767273
shower door,best-bathtub-and-shower-faucets,Best Bathtub and Shower Faucets,0.5178396105766296
shower door,how-to-install-a-dog-door,How to Install a Dog Door,0.516470193862915
shower door,best-patio-doors-for-your-home,Best Patio Doors for Your Home,0.5135072469711304
shower door,best-exterior-doors-for-your-home,Best Exterior Doors for Your Home​,0.5131361484527588
shower door,how-to-weatherproof-your-front-door,How to Weatherproof Your Front Door,0.5123531818389893
shower door,bathroom-decor-ideas,Bathroom Decor Ideas,0.5093405842781067
shower door,how-to-remodel-a-bathroom,How to Remodel a Bathroom,0.5054323673248291
shower door,types-of-door-knobs,Types of Door Knobs,0.5049101710319519
shower door,how-to-replace-a-shower-faucet,How to Replace a Shower Faucet,0.5014812350273132
outdoor prelit christmas tree,how-to-decorate-a-christmas-tree,How to Decorate a Christmas Tree,0.8829045295715332
outdoor prelit christmas tree,christmas-tree-ideas,Christmas Tree Ideas,0.8527807593345642
outdoor prelit christmas tree,how-to-make-diy-wooden-christmas-trees,How to Make DIY Wooden Christmas Trees,0.8441852927207947
outdoor prelit christmas tree,best-artificial-christmas-trees-for-the-season,Best Artificial Christmas Trees for the Season,0.834745466709137
outdoor prelit christmas tree,best-real-christmas-trees-for-you,Best Real Christmas Trees for You,0.8223007917404175
outdoor prelit christmas tree,how-to-troubleshoot-your-christmas-tree,How to Troubleshoot Your Christmas Tree,0.8100224733352661
outdoor prelit christmas tree,festive-outdoor-christmas-decorations,Festive Outdoor Christmas Decorations,0.8062193989753723
outdoor prelit christmas tree,how-to-water-a-christmas-tree,How to Water a Christmas Tree,0.7953787446022034
outdoor prelit christmas tree,traditional-nostalgic-christmas-tree,Traditional Nostalgic Christmas Tree,0.7889857292175293
outdoor prelit christmas tree,how-to-build-a-diy-christmas-tree-stand,How to Build a DIY Christmas Tree Stand,0.7795957922935486
outdoor prelit christmas tree,cozy-metallic-christmas-tree-ideas,Cozy Metallic Christmas Tree Ideas,0.7766242027282715
outdoor prelit christmas tree,how-to-keep-christmas-trees-alive,How to Keep Christmas Trees Alive,0.7752708196640015
outdoor prelit christmas tree,modern-christmas-tree-planter,Modern Christmas Tree Planter,0.7752252221107483
outdoor prelit christmas tree,diy-holiday-wood-trees,DIY Holiday Wood Trees,0.7728160619735718
outdoor prelit christmas tree,how-to-make-a-christmas-ornament-tree,How to Make a Christmas Ornament Tree,0.7698301076889038
outdoor prelit christmas tree,how-to-make-a-christmas-tree-dress,How to Make a Christmas Tree Dress,0.7443989515304565
outdoor prelit christmas tree,how-to-make-a-decorative-holiday-tree-shelf,How to Make a Decorative Holiday Tree Shelf,0.7302205562591553
outdoor prelit christmas tree,3-steps-to-outdoor-christmas-decorating,3 Steps to Outdoor Christmas Decorating,0.727353036403656
outdoor prelit christmas tree,outdoor-holiday-decorating-ideas,Outdoor Holiday Decorating Ideas,0.7236666679382324
outdoor prelit christmas tree,how-to-make-holiday-tree-yard-decor,How to Make Holiday Tree Yard Decor,0.7178080081939697
outdoor prelit christmas tree,holiday-magic-with-christmas-tree-delivery,Holiday Magic With Christmas Tree Delivery,0.7131463289260864
outdoor prelit christmas tree,christmas-tree-recycling,Christmas Tree Recycling,0.7086835503578186
outdoor prelit christmas tree,a-christmas-tree-thats-new-and-old,A Christmas Tree That’s New and Old,0.7068029046058655
outdoor prelit christmas tree,DIY-holiday-pallet,Christmas Tree Holiday Pallet Decoration,0.7047612071037292
outdoor prelit christmas tree,make-a-wood-christmas-tree-collar,Make a Wood Christmas Tree Collar,0.6998034119606018
outdoor prelit christmas tree,how-to-make-a-succulent-christmas-tree-centerpiece,How to Make a Succulent Christmas Tree Centerpiece,0.6968833804130554
outdoor prelit christmas tree,diy-scandinavian-wooden-tree,DIY Holiday Plywood Tree,0.6936822533607483
outdoor prelit christmas tree,how-to-make-a-stylish-christmas-tree-dress-centerpiece,How to Make a Stylish Christmas Tree Dress Centerpiece,0.6919209361076355
outdoor prelit christmas tree,make-a-wood-dowel-christmas-tree,Make a Wood Dowel Christmas Tree,0.6891159415245056
outdoor prelit christmas tree,how-to-make-a-christmas-tree-card-holder,How to Make a Christmas Tree Card Holder,0.6884505152702332
outdoor prelit christmas tree,christmas-porch-decorations,Christmas Porch Decorations,0.6810271739959717
outdoor prelit christmas tree,how-to-make-a-christmas-wreath,How to Make a Christmas Wreath,0.6789146661758423
outdoor prelit christmas tree,the-benefits-of-christmas-tree-delivery,The Benefits of Christmas Tree Delivery,0.674983024597168
outdoor prelit christmas tree,diy-christmas-tree-planters-to-spruce-up-your-entryway,DIY Christmas Tree Planters to Spruce Up Your Entryway,0.6661627888679504
outdoor prelit christmas tree,classic-outdoor-holiday-decor,Classic Outdoor Holiday Decor,0.6659334301948547
outdoor prelit christmas tree,how-to-make-a-terra-cotta-christmas-tree,How to Make a Terra Cotta Christmas Tree,0.660399317741394
outdoor prelit christmas tree,how-to-make-a-christmas-pinecone-wreath,How to Make a Pinecone Christmas Wreath,0.6565436720848083
outdoor prelit christmas tree,ideas-for-christmas-wreaths,Ideas for Christmas Wreaths,0.6545895338058472
outdoor prelit christmas tree,how-to-decorate-for-christmas-with-lights,How to Decorate for Christmas with Lights,0.6542549729347229
outdoor prelit christmas tree,how-to-make-a-holiday-evergreen-chandelier,How to Make a Holiday Evergreen Chandelier,0.6234513521194458
outdoor prelit christmas tree,how-to-hang-christmas-lights,How to Hang Christmas Lights,0.6160746812820435
outdoor prelit christmas tree,holiday-decoration-style-ideas,Holiday Decoration Style Ideas,0.6097325682640076
outdoor prelit christmas tree,festive-farmhouse-christmas-ideas,Festive Farmhouse Christmas Ideas,0.6060448288917542
outdoor prelit christmas tree,how-to-make-a-christmas-vertical-garden,How to Make a Christmas Vertical Garden,0.6050732731819153
outdoor prelit christmas tree,ways-to-decorate-with-holiday-wreaths,7 Ways to Decorate with Holiday Wreaths,0.600130021572113
outdoor prelit christmas tree,stack-terra-cotta-pots-for-a-stylish-diy-christmas-tree,Stack Terra Cotta Pots for a Stylish DIY Christmas Tree,0.5976049900054932
outdoor prelit christmas tree,how-to-repurpose-harvest-decor-for-festive-holiday-style,How to Repurpose Harvest Decor for Festive Holiday Style,0.5964961647987366
outdoor prelit christmas tree,how-to-stake-a-tree,How to Stake a Tree,0.5905517935752869
outdoor prelit christmas tree,best-christmas-lights-for-your-home,Best Christmas Lights for Your Home,0.586125910282135
outdoor prelit christmas tree,diy-giant-christmas-snow-globe ,DIY Giant Christmas Snow Globe ,0.5825633406639099
outdoor prelit christmas tree,how-to-fix-christmas-tree-lights,How to Fix Christmas Lights,0.577663004398346
outdoor prelit christmas tree,traditional-christmas-front-door-decorations,Traditional Christmas Front Door Decorations,0.5769518613815308
outdoor prelit christmas tree,how-to-make-a-holiday-wreath,How to Make a Holiday Wreath,0.5733548402786255
outdoor prelit christmas tree,how-to-protect-trees-and-shrubs-for-winter,How to Protect Trees and Shrubs for Winter,0.5733392238616943
outdoor prelit christmas tree,how-to-make-a-christmas-globe,How to Make a Christmas Globe,0.5716152191162109
outdoor prelit christmas tree,how-to-make-a-tree-charcuterie-board,How to Make a Tree Charcuterie Board,0.5712833404541016
outdoor prelit christmas tree,best-christmas-wreaths-for-your-home,Best Christmas Wreaths and Garlands for Your Home,0.5680433511734009
outdoor prelit christmas tree,fresh-faux-greenery-and-classic-christmas-decor,Fresh Faux Greenery and Classic Christmas Decor,0.561829686164856
outdoor prelit christmas tree,how-to-make-a-tree-swing,How to Make a Tree Swing,0.5602025985717773
outdoor prelit christmas tree,festive-christmas-porch-in-under-20-minutes,Festive Christmas Porch in Under 20 Minutes,0.5590090751647949
respirator,types-of-respirator-masks,Types of Respirator Masks,0.7711610794067383
respirator,how-to-perform-a-respirator-fit-test,How to Perform a Respirator Fit Test,0.7220313549041748
paint primer,how-to-spray-paint,How to Spray Paint,0.7310109734535217
paint primer,best-paint-sprayer-for-your-project,Best Paint Sprayers for Any Type of Project,0.7049885988235474
paint primer,best-spray-paint-for-your-project,Best Spray Paint for Your Project,0.6912484765052795
paint primer,how-to-use-a-paint-sprayer,How to Use a Paint Sprayer,0.6832976937294006
paint primer,how-to-prep-a-house-for-painting,How to Prep a House for Painting,0.6473743915557861
paint primer,repainting-furniture-using-a-paint-sprayer,Repainting Furniture Using a Paint Sprayer,0.6191383004188538
paint primer,types-of-paint-finishes,Types of Paint Finishes ,0.6123853325843811
paint primer,how-to-paint-a-room,How to Paint a Room,0.6110423803329468
paint primer,bedroom-paint-ideas,Bedroom Paint Ideas,0.6110402345657349
paint primer,how-to-choose-a-paint-color,How To Choose a Paint Color,0.6070237755775452
paint primer,exterior-paint-ideas,Exterior Paint Ideas,0.6066878437995911
paint primer,how-to-prepare-a-room-for-paint,How to Prepare a Room for Paint,0.5985685586929321
paint primer,best-paint-brushes-for-any-project,Best Paint Brushes for Any Project,0.592659056186676
paint primer,how-to-paint-paneling,How to Paint Paneling,0.5909956693649292
paint primer,how-to-make-canvas-paintings,How to Make Canvas Paintings ,0.5865370631217957
paint primer,best-paint-stripper-for-your-project,Best Paint Stripper For Your Project,0.5853592157363892
paint primer,how-to-prime-a-wall,How to Prime a Wall,0.5818495750427246
paint primer,how-to-get-paint-out-of-clothes,How to Get Paint Out of Clothes,0.5788966417312622
paint primer,how-to-sponge-paint,How to Sponge Paint,0.5781989693641663
paint primer,how-to-paint-trim,How to Paint Trim,0.5730913877487183
paint primer,how-to-paint-a-ceiling,How to Paint a Ceiling,0.5709407329559326
paint primer,3-ways-to-repurpose-a-paint-can,3 Ways to Repurpose a Paint Can ,0.5709373354911804
paint primer,how-to-paint-furniture,How to Paint Furniture,0.5677185654640198
paint primer,how-to-choose-the-best-concrete-paint,How to Choose the Best Concrete Paint,0.5666694045066833
paint primer,best-ceiling-paint-for-your-home,Best Ceiling Paint for Your Home,0.5622645616531372
paint primer,ceiling-paint-ideas-for-your-home,Ceiling Paint Ideas for Your Home,0.5622645020484924
paint primer,how-to-paint-tiles,How to Paint Tiles,0.5551503300666809
paint primer,faux-paint-finish-ideas, Faux Paint Finish Ideas,0.5543700456619263
paint primer,painting-tips-and-tricks,Painting Tips and Tricks,0.545356273651123
paint primer,best-paint-roller-for-your-projects,Best Paint Rollers For Your Projects,0.5403293967247009
paint primer,exterior-house-paint-ideas,Exterior House Paint Ideas,0.536699652671814
paint primer,best-paint-for-your-next-cabinet-project,Best Paint for Your Next Cabinet Project,0.5355662703514099
paint primer,painting-the-exterior-of-our-house-with-the-projectcolor-app,Painting the Exterior of our House With the ProjectColor App,0.5242721438407898
paint primer,best-exterior-paint-for-your-home,Best Exterior Paint for Your Home,0.5232767462730408
paint primer,best-safety-equipment-for-painting,Best Safety Equipment for Painting,0.5231083631515503
paint primer,how-to-use-chalked-paint,How to Use Chalked Paint,0.5191187858581543
paint primer,best-interior-paints,Best Interior Paints for Every Room,0.5152907967567444
paint primer,how-to-clean-painted-walls,How to Clean Painted Walls,0.5127729177474976
paint primer,how-to-paint-an-accent-wall,How to Paint an Accent Wall,0.5126514434814453
paint primer,how-to-get-paint-out-of-carpet,How to Get Paint Out of Carpet,0.5103950500488281
paint primer,best-office-paint-colors-for-productivity-&-focus,Best Office Paint Colors for Productivity & Focus,0.506437361240387
hydrangea,how-to-grow-hydrangeas,How to Grow Hydrangeas,0.8779192566871643
hydrangea,plant-a-rose-or-hydrangea-for-mom,Plant a Rose or Hydrangea for Mom,0.7590799331665039
hydrangea,mothers-day-farmhouse-hydrangea-bucket-project,Mother's Day Farmhouse Hydrangea Bucket Project,0.6800661087036133
